id	text	pronoun	pronoun_offset	a	a_offset	a_coref	b	b_offset	b_coref	url
test-16	Indeed, Buster was fully intended to exist in place of Spike for the comic book series, until the release of the Fortress Maximus toy in 1987, which included Spike as a Headmaster partner, hence necessitating the hurried introduction of Spike into the comic book continuity. Returning home from college to discover that his father's garage had been destroyed, Spike investigated the Autobots' deserted base at Mount Saint Hillary, learning that Buster had been captured by the Earth-based Decepticons.	his	320	Buster	8	False	Maximus	122	False	http://en.wikipedia.org/wiki/Spike_Witwicky
test-19	On May 17, 2004, when the very successful Die Harald Schmidt Show left Sat.1, Engelke took over its timeslot with Anke Late Night, which was cancelled due to low ratings a few months later on October 21, 2004. Engelke is the German voice of Marge Simpson on The Simpsons since her predecessor Elisabeth Volkmann died in the summer of 2006.	her	277	Marge Simpson	241	False	Elisabeth Volkmann	293	False	http://en.wikipedia.org/wiki/Anke_Engelke
test-24	Jones played piano for a concert with the London Symphony Orchestra, with George Martin conducting his Beatles Yellow Submarine Suite. He also wrote a chapter on MIDI for Martin's book Making Music and presenting a segment about computer music on BBC Two's Science In Action. In the late 1980s Jones began working with Duran Duran on their live shows and then in the studio producing a B side single ``This Is How A Road Gets Made'', before being hired to record the album Liberty with producer Chris Kimsey. He also produced the single ``Burning the Ground'' (a remix of Duran's greatest hits) for Duran Duran's compilation album.	He	135	George Martin	74	False	Duran Duran	319	False	http://en.wikipedia.org/wiki/John_Jones_(record_producer)
test-41	However he was never able to get close to two of the best, Dai Vernon or Sam Horowitz. So McGuire got close to a magician both men admired, Max Malini, and through clever use of his association with Malini got to Horowitz. With his knowledge of Scott, McGuire had leverage and a worth to the top cardmen.	his	178	Malini	199	False	Horowitz	213	False	http://en.wikipedia.org/wiki/Walter_Irving_Scott
test-46	When Liu Bei heard of Liu Cong's surrender, he led his followers (both troops and civilians) on an exodus southward to Xiakou, engaging Cao Cao's forces in a brief skirmish at the Battle of Changban along the way. While in Xiakou, Liu Bei sent Zhuge Liang to follow Lu Su to Jiangdong to discuss the formation of an alliance between him and Sun Quan.	he	44	Liu Cong	22	False	Cao Cao	136	False	http://en.wikipedia.org/wiki/Zhuge_Liang
test-54	On January 13, 2010, she performed for Ringo Starr with Ben Harper and the Relentless7 on The Daily Show to promote Starr's new album, Y Not. She again played with them and Joan Osborne on January 14, 2010 for a performance at the Metropolitan Museum of Art, in the Grace Rainey Rogers Auditorium, in New York City which was recorded for and appeared in 2010 on the PBS show, Live from the Artists Den. Ann Marie collaborated with Hans Zimmer, as a featured soloist and contributing writer on the film score for the 2009 film Sherlock Holmes, directed by Guy Ritchie.	She	142	Starr	116	False	Joan Osborne	173	False	http://en.wikipedia.org/wiki/Ann_Marie_Calhoun
test-69	His other television appearances included Comedy Central 's Comics Come Home special, The Dennis Miller Show, and Late Night with Conan O'Brien. He also worked as a writer on In Living Color. Prior to his death in 2005, Thomas was working as a writer for Air America Radio, and was a frequent guest at Rocky Sullivan's ``Satire for Sanity'' show. He also was working on a project with Jamie Foxx.	He	145	Dennis Miller	90	False	Conan O'Brien	130	False	http://en.wikipedia.org/wiki/Warren_Thomas
test-70	Brett Booth is an American comic book artist. He is best known for his work on Backlash, a character he co-created with Jim Lee at the Wildstorm Studios. Following his Wildstorm work, Booth has also illustrated the exploits of some of Marvel Comics ' best known characters such as Spider-Man, the Fantastic Four, and the X-Men.	he	101	Backlash	79	False	Jim Lee	120	False	http://en.wikipedia.org/wiki/Brett_Booth
test-76	They had two sons, who were both professional football quarterbacks: Jeff Kemp (born in 1959) played in the NFL from 1981 to 1991, and Jimmy Kemp (born in 1971) played in the CFL from 1994 to 2002. Significantly for a man with his demanding schedule, Jack never missed one of their games as children or in college.	his	227	Jeff Kemp	69	False	Jimmy	135	False	http://en.wikipedia.org/wiki/Jack_Kemp
test-80	With the staff knowing that GlobeLink is shutting down, Henry and Sally try to find work elsewhere, Damien tries to get a story using Tony Blair's diaries, Dave tries to get fired in order to earn some extra money, and Helen's father dies. Joy's sketches are put up for an art exhibition, George starts to fall in love with Henry's niece, Helen finally admits to her mother that she is a lesbian but discovers her secret was already well known, and Sally gets engaged to the 34th-richest man in the world.	her	410	Joy	240	False	Sally	449	False	http://en.wikipedia.org/wiki/List_of_Drop_the_Dead_Donkey_episodes
